owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images,username,followers,following
1517115414,college_housewife,Cq896TQA7Z7,TRUE,"LEMON DROP SHOTS 🍋 Secret time, I love making a round of shots at home before a dinner out 🤣 there’s something about that streamline pour from the shaker that turns my kitchen into the Coyote Ugly Bar 🤷🏻‍♀️✨ 

LEMON DROP SHOT RECIPE link in my profile! 🍋💛✨ 

#lemondrop #lemondropshots #shotsshotsshots #lemoncocktails #vodkacocktail",172,14950,1681338174,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425233562_402638958944011_1485015534142608876_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Wiq3Nq_2IDEAX9mBcuJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDaxocN_zfpx9NTUVNC1x-aJC228fS1TNSdnbQkZ-6rSA&oe=65E50E70&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,ClhVuwopWdi,TRUE,"New! Shaken Brown Sugar Espresso! ☕️🧊
Truly, my drink of choice lately at @starbucks ! So subtly sweet and perfectly creamy ☺️
.
The addiction is real, so I had to try and make it at home! 

.
FULL RECIPE link in my profile ☕️🧊

. 
#coffee #icedcoffee #shakenespresso #starbucks #espresso",169,6657,1669673616,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425499568_316653467567441_1873281277033427909_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=NISOcIcRQBkAX-7j8O5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCL8VlmgF3pF7Gj-yPU-VM2M7plGSmOlkkUal4Rxs_Ljw&oe=65E5A020&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,CjJF8YbgKet,TRUE,"Sanderson Sister Sangria 🖤🍇🍷 for the #hocuspocus 2 premiere! Are you watching tonight?! 
.
I grew up watching Hocus pocus as a kid (and now!) and I can imagine this is what Winifred Sanderson would sip on 😉 Cheers! 
.
FULL RECIPE LINK in my profile! Happy watching ☺️🖤🍷 
.
#hocuspocus2 #hocuspocusparty #sangria #halloween #halloweencocktails #spookycocktails #redwine",1032,63431,1664565118,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425167368_797422038884252_4020664052421084239_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Sr0tgVA6sZYAX8bW6dm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBxGkqh7Gf38gkP5e7tYQsSU9b7WrwF6DoPC8HkoKq-dA&oe=65E538EF&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3_BPcsRVOT,TRUE,"Strawberry Simple Syrup! 🍓 This simple recipe will make your life (and cocktail making) SO much easier! With only 3 ingredients you’ll have a batch on hand to make cocktails, desserts 👀, and even breakfast recipes! 🥞 

All you need is:
🍓Strawberries
🌊Water
😋Sugar

FULL RECIPE LINK in bio! 

#strawberrysimplesyrup #strawberrysyrup #strawberrycocktails #strawberryrecipes #homemadesimplesyrup",24,264,1709324284,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430371675_1318547035501983_1756827535243547977_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=jVd2ylAX6jwAX-12hx1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAZTBYe5x2T0sAyAAdmkFivC75fvT7gVZvPJyGq_k0CVw&oe=65E515FB&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C30jkz1xtAI,TRUE,"Matcha Chia Seed Pudding 🍵 this easy make ahead breakfast not only looks and feels like spring, it gives you a little caffeine kick. ⚡️
️Chia seeds are also an easy go to when you need a little more fiber in your day!

FULL RECIPE LINK in bio! Bookmark to keep all your fav spring recipes at the ready 🌷🌿
 
#matcha #matcharecipes #chiaseedpudding #easybreakfastidea",27,230,1708973035,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429792905_1169102857791365_3077638101183307760_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=2LPIkC2UjSkAX8xN3eJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB9j9Z7tEDUdbThGKRoHHLY4RWONSOAROej-np3a8hKoQ&oe=65E50B8B&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3s-BbWRqsC,TRUE,"Gin Basil Smash! 🌿 Take one sip and you’re instantly transported to a fancy hotel patio in the sunshine. This gin basil smash is made with herbal gin, fresh lime juice, and basil. 

BOOKMARK this recipe to have when your garden is overflowing with fresh basil this spring. FULL RECIPE link in bio - follow @college_housewife for more spring cocktail recipes 🍹 

#ginbasilsmash #gincocktail #ginbasilcocktail #gin #basil",35,394,1708718457,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/420588668_7258823950842025_7435493831443507512_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=0aLqTHjN_YsAX8-LIpn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBmMMAhunHsOnr0J11gRa4Qeku2HYwpdr-2ZNhuNWMP7A&oe=65E558EB&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3qbDMNxPjn,TRUE,"Happy National Margarita Day! 🍸 This Italian Margarita recipe with limoncello will transport you straight to the Amalfi coast! 🇮🇹 As the self-proclaimed margarita queen, it’s no secret that I love dreaming up different margarita variations. Whether you celebrate this holiday with an Italian marg, a spicy marg, or an old faithful, I hope you enjoy it to the fullest (alongside some nachos, of course)! 🥂

Ingredients:
1 oz fresh lime juice
1 oz fresh blood orange juice (or pomegranate juice if not in season)
1 oz limoncello
2 oz blanco tequila
Club soda, top top (optional)

Instructions:
1. Fill a cocktail shaker with ice and add in lime juice, blood orange juice, limoncello and tequila. Shake for 20-30 seconds or until the cocktail shaker is well chilled. 
2. Pour into a low glass with ice, top with club soda if desired and garnish with a blood orange slice.

#NationalMargaritaDay #margarita #italianmargarita #amalfi #amalficoast",72,5226,1708633046,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429560897_948616973517755_4370189273495998807_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=nT4uzaXai_YAX-aYpwC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDs9WbKRR7Rnj-NnyzupLaFEVffgnR3yvbixczCiYTtdw&oe=65E5448A&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3nf0iCR7FS,TRUE,"Super Easy 4 Ingredient peanut butter cookies! 🍪 Crispy golden edges, gooey peanut butter centers. Bookmark these for your next sweet tooth! 

PEANUT BUTTER COOKIES: 
1 ½ cups smooth peanut butter 
1 ½ cups brown sugar 
2 large eggs, at room temp
1 ½ tsp baking soda 
1 tsp vanilla paste, optional 

Instructions: 

1. Preheat the oven to 350 F. Line two medium rimmed baking sheets with parchment paper and set aside. 
2. In a bowl with a stand mixer or a medium bowl with a hand mixer add peanut butter and brown sugar. Mix together on medium-high for 2-3 minutes. 
3. Add eggs, baking soda and vanilla bean paste if using and mix together for another minute. 
4. With a 1 inch cookie scoop, scoop dough balls onto the baking sheet and create a criss cross pattern with a fork. Top with a little extra brown sugar if desired. 
5. Bake for 8-9 minutes or until the edges are slightly golden brown. Remove from the oven and leave on the baking sheet for an additional 3-5 minutes. Transfer to a wire baking rack to finish cooling.

#peanutbuttercookies #cookie #cookierecipe #easycookierecipe",48,170,1708535005,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429251528_370259565782558_558938502850764546_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=LQ7_-v5caG8AX8kwAN-&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfApE-wnM0x-Id3eSM4EYZeZIIrJsWVUNLdQ_z1maKrJ4w&oe=65E52E60&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3mJXXoO8xE,TRUE,"Dream Kitchen Activated ✨💛🍋🧈 your sign to always keep dreaming 🥹 

#kitchendesign #kitchenmakeover #creamkitchen #frenchkitchen",52,2786,1708489829,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/428588084_5492403284217105_8914679485464305595_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=g3yduB4f8WgAX8aGzQw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBAq-RjVJvYqW4SNLZ1iVzkrQAxZt9V7HAeJaNVuFYZEg&oe=65E50230&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3aZa3zMevn,TRUE,"Oh my my matcha margarita! 🍵🍸This super easy margarita recipe is flavorful AND caffeinated - it may give espresso martinis a run for their money! Just add some matcha powder to your cocktail shaker and mix it up with your favorite tequila, a hint of sweetener, and Cointreau to make this vibrantly colored healthy cocktail. 💚

FULL RECIPE link is in my profile! 

#margarita #margaritarecipe #matchamargarita #matcha",41,292,1708095302,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427856979_1118881265909429_4050212662721454314_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=93Al2ImAQiEAX-Aa-wS&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBlf8Ihc3MpmUWJIG8iG7KM_ZHssv0cXdbR4bFXKGAO1w&oe=65E53C20&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3VhwivRxNH,TRUE,"Happy Valentine’s Day! ❤️ Whether you’re celebrating this day with self-care, your best friends, or your partner, I can guarantee this Raspberry Vodka Champagne Cocktail will make the day SO much sweeter! 🥂

FULL RECIPE link is in my profile!

#raspberrycocktail #valentineday #valentinescocktail #valentines",42,568,1707931896,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427462718_2256332374703629_2125704290082465577_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=VXZUA9Yi3TMAX8TJy6U&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfADg0et88ALHi0RQjw1vRktq5GyVGwaS971iJls5WyWlg&oe=65E59C56&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
1517115414,college_housewife,C3T9hDerjc4,TRUE,"Blackberry Bourbon Smash 🥃💌 A very easy whiskey cocktail to make for your valentine ❣️ Made with crushed blackberries, bourbon, crushed ice and fresh lemon 🍋 #valentinescocktails #bourboncocktails #easycocktails",31,330,1707879332,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/426699733_948988819989315_3218090431197045703_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=1LtVGgIb6zcAX9S1tbX&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDJya-goy_ZkSqLvy6MfPkU0EqL85p0xATceQzJQz6fCw&oe=65E5782D&_nc_sid=8b3546,FALSE,college_housewife,216468,1913
12243093,conrad_anker,C4ACQ3roO5j,FALSE,"Climbing brings us together.  Once you challenge yourself with gravity and share this experience with your friends something changes. It's the international language of belaying and spotting. It's the same everywhere. You have to trust someone to achieve your goals. 

@memphisroxclimbing has been a flywheel for the good that climbing brings. Built in the shell of a supermarket with a state of the facility, Rox is bringing gym climbing and outdoor experiences to South Memphis.

With a pay as one can model, the gym is open to everyone. Climbing as I was introduced to it was free. The cliffs were at  end of the road and my dad and his buddies had the gear and knowledge. I still recall the moment when climbing and being outdoors latched on. It's that same emotion that we see with the people we welcome to the crag, mountain and gym. Let's keep that going! 

The freedom that climbing brings comes at a cost. The facility and staff are monthly obligations. In business, as in climbing, the unexpected happens. In this case a burst water pipe needs immediate attention. To keep Rox a safe place (it's a polling station, health care facility and restaurant) the security team needs immediate funding. Going without costs the program more. 

Rox has been a part of my life for the past six years. I've made new friends, shared backcountry experience & knowledge while climbing outdoors and learned from each other on how to address the challenges of race in the United States. 

If you believe in the mission of @memphisroxclimbing please consider a donation. It will be put to good use. If you have the chance to visit Memphis, stop by the gym. You'll find family by the time you have warmed up.

#thankyou",11,1528,1709358199,"{'id': '1728783104090806', 'has_public_page': True, 'name': 'Memphis Rox Climbing + Community', 'slug': 'memphis-rox-climbing-community'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/431136670_916554343311763_2110937629200441926_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Nf_HV89QExAAX-EnxVj&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDkyQFbi5MDLB3GsbN1CzzArccVKzWGhRpP5p4SEiW4_Q&oe=65E551EF&_nc_sid=8b3546,TRUE,conrad_anker,458905,2496
12243093,conrad_anker,C2mRrRVSu6e,TRUE,"The elder tea @khumbuclimbingcenter was started by co-founder @jenniloweanker. The elders of the village are guests of the program for tea and lunch. As it's cold this year fleece jackets were included. 
Thanks to @kunsal_sherpa for filming and the village of Phortse for the welcoming collaboration we have created over the past 20 years.
With gratitude,
Conrad",18,1007,1706346392,"{'id': '880072107', 'has_public_page': True, 'name': 'Khumbu Climbing Center, Phortse, Nepal', 'slug': 'khumbu-climbing-center-phortse-nepal'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/422779680_7247131498710880_2708223741053619163_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=7foW9oGnq4kAX95bfB8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCpMXYoQoxE3Gioc-pVu3ujF4mIInbTgvXb3FOERyQ91A&oe=65E54256&_nc_sid=8b3546,FALSE,conrad_anker,458905,2496
5803476947,phu_srpa,C2aC7LuJJNa,FALSE,"Today’s an auspicious day . We KCC family feels beyond grateful and happy to welcome  the gift for our 20th anniversary , Guru Ringboche  to KCC . Building This 20 years has been wonderful and let’s all hope and pray for an even more amazing 20 years in the future. 🙏🙏🙏 @khumbuclimbingcenter @himalayanquests @conrad_anker @jenniloweanker @everestoutfit",5,766,1705935994,"{'id': '880072107', 'has_public_page': True, 'name': 'Khumbu Climbing Center, Phortse, Nepal', 'slug': 'khumbu-climbing-center-phortse-nepal'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t39.30808-6/421634662_18293078356196948_1362382453721119837_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=7RgG51zBUYsAX_20Irq&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDhd_YP0colIJ6VQK1Fkctiv2NVD-jnxBz0WiIVWBLjJA&oe=65E7A57B&_nc_sid=8b3546,TRUE,,,
12243093,conrad_anker,C2W-DLhoOkz,TRUE,"The @khumbuclimbingcenter begins with a Puja ceremony. The students, instructors and volunteers hike to the lower Khumbila ice flows and share a meaningful start to the course. Aou Lama has been part of this tradition for 14 years. 
Once the ceremony concludes we toss toasted barley in the sky for long life. We then share the pemar (barley cake cone) and Losar biscuits. Once the goodness is lined out we begin climbing.",22,2742,1705832904,"{'id': '880072107', 'has_public_page': True, 'name': 'Khumbu Climbing Center, Phortse, Nepal', 'slug': 'khumbu-climbing-center-phortse-nepal'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/420615743_1337471310247157_4576402177276488871_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Z1QuVA6wKqEAX8hoPeO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfADpX1CZ5u982LYILlBHkcMfeA3yUZozHmdlkBFBXe77g&oe=65E55F9E&_nc_sid=8b3546,FALSE,conrad_anker,458905,2496
458305551,petzl_official,C2IGHOFNiSK,TRUE,"#PetzlTips - Organize your ice screws with CARITOOL EVO.

Find out how @conrad_anker uses the CARITOOL EVO to manage his gear while climbing.

#Petzl #Petzlgram #AccessTheInaccessible #IceClimbing #Mountaineering",25,3448,1705333751,,https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/418876480_1084470152795984_8842147427572338551_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=SEoaA2Obr04AX9IWYbD&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB_9AvZz1xoS2jqUrGYe3cYoV3ocZr160cskLY8pfKaIg&oe=65E595C0&_nc_sid=8b3546,FALSE,,,
12243093,conrad_anker,C2HKf-nSMle,TRUE,"Leaving Kathmandu for the 20th @khumbuclimbingcenter. Thanks to @shangrilanepaltrek for making the transition effortless.
Swayambhunath Temple and its 🐵 denizens, @pemba_sharwa and Nawang his wonderful mother, a take off and landing at Lukla and our team of @phil_henderson @mountainmaryanna, Pemba and Chepal on the trail to Monjo.
#khumbuclimbingcenter2024
Music by the esteemed and talented @therajulamaofficial (KCC graduate!)

मेरा नेपाली साथीहरूका लागि खुम्बु आरोहण केन्द्रको बारेमा थप जान्नुहोस्। हामी सँगै चढ्न यहाँ छौं",13,1179,1705303140,,https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/418787920_736192841578682_5249939007955976252_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=1vDp12HbclQAX8txAh1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBlGp7T1B5blxjpehYRGSRoSi5cO2LaX4zpWJ1XFPdZrA&oe=65E51B96&_nc_sid=8b3546,FALSE,conrad_anker,458905,2496
12243093,conrad_anker,C2G7TlkyZXj,TRUE,"Welcome video for the @khumbuclimbingcenter from Phortse, Nepal. 
Students checking in for group assignments and gear review.

Thanks to @jenniloweanker @himalayanquests @phu_srpa @dawayangzum @phil_henderson @pemba_sharwa @kunsal_sherpa @mountainmaryanna @manishh.t.p @shantanepali 
@thejuniperfund @pega_sherpa @temba27 @tseringsherpa8k @kunga.photography @ngsphotography24 @sherpa_p_t_s @wilder_med @unm_mountainmed 

or
For the instructors this year:

तपाईंको सहयोग र समर्पण धेरै गहिरो सराहना गरिएको छ

With gratitude for all the people of Phortse and Nepal. 

#khumbuclimbingcenter2024 

@thenorthface @lasportivagram",45,2163,1705294477,"{'id': '880072107', 'has_public_page': True, 'name': 'Khumbu Climbing Center, Phortse, Nepal', 'slug': 'khumbu-climbing-center-phortse-nepal'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/418767604_286121201143506_7283791889889313031_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=ELF-AU8LuwsAX_DWscV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCh4OMbfd9TEggfPVGVB_XGylE1POg-ykfJQ3pa_XtUTA&oe=65E54B5E&_nc_sid=8b3546,FALSE,conrad_anker,458905,2496
12243093,conrad_anker,C1pkLrKJ-zt,TRUE,"Choss wrangling in Hyalite Canyon,  MT. Short and steep following the crack to the right of thin chance. ""Solar Flare"" Loose andesite rock eats ropes. Thanks to the people that joined in. @joshuagarrigues camera of the hold snapping at the chains.

The route will continue with low angle on low percentage holds climbing to the top. The mini gym belay ends at the lip.  #iceclimbing

@thenorthface_climb @petzl_official",12,1677,1704309953,"{'id': '944113066', 'has_public_page': True, 'name': 'Hyalite Canyon', 'slug': 'hyalite-canyon'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/416558963_1113216422914962_6884110790800768251_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Gh5QbTgOsx8AX-F0xcO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCPwPMklynUva2hUo74AHIdrXUJSYV2J2ucFuUxvDBgAw&oe=65E59BAD&_nc_sid=8b3546,FALSE,conrad_anker,458905,2496
12243093,conrad_anker,C1i8a8iMt5O,FALSE,"30 years ago today,  the last day of the year,  @johnmiddendorf4 and I climbed Cerro Torre, Patagonia via the Compressor Route. (South East Ridge) Established in 1970 by Cesare Maestri with a gasoline powered drill, the controversial route sported a stack of bolts and was the quick way to the top. 

John and I enjoyed the climb,  yet these was something amiss. The wildness of this peak was sacrificed for human ego. Maestri, making up for his fanciful ascent of 1959, bolted the peak into submission. 
 
In 2012 the late Hayden Kennedy and 
@jason_kruk removed the bolts, giving the mountain its power back and creating controversy.

If Cerro Torre is a peak that you are interested in please listen to @climbinggold. The recent season includes the Maestri Mystery with insight from @kellycordes, author of ""The Tower"", the definitive book on this subject.

In reviewing my journal from 30 years ago I reflect on how climbing has changed. Even if we have better weather  forecasts and lighter & stronger gear, the sense of self discovery one gets from a proper Patagonian beat down still remains. This primal connection to living is as real as it gets. 

First photo of the Cerro Torro group from the summit of Chalten by Galen Rowell.",56,9023,1704087090,,https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/414494122_7119293224801514_8157494094357198479_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=x3WzqTUfxGsAX_gLUxf&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDZVvRzJOUAurpN68hc1ilO4kVDolzGkjVwcK5badOCrA&oe=65E8A556&_nc_sid=8b3546,TRUE,conrad_anker,458905,2496
12243093,conrad_anker,C1fF_-rpzx6,FALSE,"Kyle Allen Rott 1987 - 2023 
On  November  25th we lost Kyle in a fall in Hyalite Canyon, Montana. My heart goes out to his mother and sister and the South Dakota family of this fine man.  For his friends the loss is immediate. The years of being together,  weaving the fabric of friendship through shared experiences are gone.

Kyle was a climber. Once he realized that the pursuit of gravity was his life's calling,  he lived with a singular purpose. ""Let's go climb.""

As someone close to Kyle, his ""uncle"" by age and knowing him with our family, his loss is another weight on the scale of ""is it worth it"".

Many of my close friends are introverts. In school we found each other and climbing self selected us. Kyle and I climbed together for 15 years - most of the time hiking the folds of Southwest Montana looking for the cliffs and drips that sustain us. In between climbs he helped out by housesitting for the climbing community. For those of that trusted Kyle without houses and animals - you know how conscientious he was.  Kyle's humble approach to life - not entertaining anything superfluous - was reflected by living in his truck.  Which made housesitting a good balance. 

While Kyle was quiet and shy in a room of his peers, there was this friendly side that Kyle shared with people in life. More than once he would carefully explain the gadgets needed to climb to curious people on the trail. This translated well to the guiding he did with Montana Alpine Guides and the Mountain School in Yosemite. 

At our service for Kyle we wrote in a small book for his mother and family. His worldly possessions, kept tidy in a Livingston storage locker, spread out over a picnic table, passed to his friends. They will cherish his memory and then ply the seas of gravity, risking it all for the moment. For his age peers, dealing with non sequential death, many for the first time, left adrift questioning and bonding closer with those that stand. I was there. And now 30 years later as an elder, with culpability and responsibility.

We love you Kyle for energy you brought to our climbing adventures. 

We love you for the reminder to live calm. 

Photos @petetapley",172,14748,1703957894,"{'id': '944113066', 'has_public_page': True, 'name': 'Hyalite Canyon', 'slug': 'hyalite-canyon'}",https://instagram.fmar3-1.fna.fbcdn.net/v/t51.2885-15/413445547_1496571197584365_8855181582813279885_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmar3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=SnJNiLoWRzEAX-Kx8fy&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDM9A0B8l5vPfQ9LJHGqG8Njrpo3exDPFlSmWhTSCYC8Q&oe=65E88059&_nc_sid=8b3546,TRUE,conrad_anker,458905,2496
